studytime,absences,G1,G2,freetime,goout,health,internet,Medu,Fedu,schoolsup,famsup,G3,subject
4,0,10,9,3,3,5,yes,3,1,yes,yes,10,portuguese
2,0,11,10,1,3,4,yes,2,2,yes,yes,11,portuguese
4,6,15,15,4,2,3,yes,3,1,no,yes,15,portuguese
4,2,13,11,3,2,5,yes,3,1,no,yes,11,portuguese
4,0,11,9,3,3,3,yes,4,2,no,no,10,portuguese
2,2,13,11,3,4,5,yes,1,1,yes,yes,11,portuguese
1,0,13,13,3,2,5,no,3,1,no,no,14,portuguese
2,4,11,11,3,3,5,yes,3,3,yes,yes,11,portuguese
2,0,11,11,3,3,5,yes,4,3,no,yes,11,portuguese
4,0,12,11,4,3,1,yes,4,0,no,no,11,portuguese
4,1,13,13,2,3,3,yes,2,2,no,no,13,portuguese
1,0,9,9,5,1,3,yes,2,1,yes,yes,10,portuguese
2,14,12,11,4,3,3,yes,3,4,no,yes,11,portuguese
1,0,11,11,2,2,3,yes,2,3,yes,yes,12,portuguese
3,2,10,9,3,2,5,yes,2,3,yes,no,9,portuguese
2,4,12,11,4,4,5,yes,3,2,no,yes,11,portuguese
2,2,13,12,3,3,4,yes,2,2,no,no,13,portuguese
2,2,13,12,3,2,4,yes,1,1,no,yes,12,portuguese
2,4,12,11,4,4,5,yes,4,4,no,no,12,portuguese
2,6,13,11,3,4,2,no,2,2,no,yes,11,portuguese
3,4,15,15,3,3,1,yes,4,2,no,yes,15,portuguese
2,6,12,10,4,2,3,yes,2,2,no,no,11,portuguese
2,6,9,9,1,3,5,no,4,4,no,yes,10,portuguese
3,2,9,11,3,3,4,yes,3,3,no,yes,11,portuguese
1,6,14,13,5,5,1,yes,4,3,no,no,13,portuguese
2,0,12,13,3,3,2,no,3,1,yes,yes,12,portuguese
2,2,13,14,3,3,1,yes,4,2,no,yes,14,portuguese
4,2,11,12,3,4,4,yes,2,2,no,yes,12,portuguese
4,4,13,13,1,2,1,yes,1,1,yes,yes,13,portuguese
1,6,9,11,3,3,4,yes,4,3,yes,yes,11,portuguese
2,0,13,12,3,5,5,no,2,1,no,yes,12,portuguese
1,4,12,13,3,4,1,yes,4,4,no,no,13,portuguese
3,2,12,13,3,5,3,yes,4,3,yes,yes,13,portuguese
1,12,9,9,5,5,4,yes,4,4,yes,yes,8,portuguese
3,0,16,16,4,3,4,yes,4,4,no,yes,16,portuguese
1,2,12,13,3,3,5,yes,4,4,no,yes,12,portuguese
2,16,11,10,3,5,2,yes,3,2,yes,yes,10,portuguese
2,0,16,16,4,4,1,yes,3,4,no,yes,16,portuguese
4,10,10,10,3,3,4,no,3,3,yes,no,10,portuguese
4,4,10,10,1,2,3,yes,2,2,yes,yes,10,portuguese
3,4,13,14,3,3,5,yes,3,3,no,yes,14,portuguese
4,8,12,10,3,5,1,yes,4,4,no,yes,11,portuguese
3,2,15,15,4,5,4,yes,4,4,no,yes,14,portuguese
1,4,13,14,5,3,4,yes,4,4,no,no,14,portuguese
3,4,11,11,1,2,2,yes,3,3,yes,yes,11,portuguese
2,12,8,10,1,2,5,yes,2,2,yes,no,10,portuguese
1,10,18,17,5,2,3,yes,4,2,no,no,18,portuguese
2,4,10,9,4,2,5,yes,2,1,no,no,10,portuguese
2,6,16,14,4,4,5,yes,4,4,no,yes,14,portuguese
2,4,16,15,4,3,2,no,4,4,no,yes,16,portuguese
1,6,14,14,4,2,5,yes,3,3,no,no,15,portuguese
2,14,12,11,2,4,5,yes,1,3,no,yes,11,portuguese
1,2,14,13,4,3,4,yes,3,4,no,no,14,portuguese
2,0,14,14,2,3,1,yes,1,2,no,no,14,portuguese
4,6,14,13,5,4,5,yes,2,2,no,yes,13,portuguese
2,2,14,12,2,2,5,yes,2,4,no,yes,13,portuguese
1,4,12,13,4,4,5,yes,4,4,no,yes,13,portuguese
2,0,12,11,4,4,5,yes,2,2,no,no,11,portuguese
1,2,9,9,5,5,5,yes,3,4,yes,no,9,portuguese
2,0,10,11,3,2,1,yes,3,4,yes,no,11,portuguese
2,0,9,10,4,2,5,no,0,1,no,yes,11,portuguese
1,8,14,14,5,5,4,yes,4,4,no,no,15,portuguese
3,4,13,12,2,3,1,yes,2,3,no,yes,13,portuguese
3,0,10,11,2,2,5,yes,3,4,no,yes,12,portuguese
2,10,10,9,4,5,5,yes,2,1,no,yes,8,portuguese
1,8,11,10,2,2,5,yes,2,1,no,yes,11,portuguese
1,6,11,12,3,3,4,yes,1,1,no,yes,13,portuguese
1,2,13,12,4,4,5,yes,2,2,no,yes,12,portuguese
1,12,15,13,2,1,5,yes,3,4,no,no,14,portuguese
1,4,9,9,2,1,2,no,2,1,no,no,11,portuguese
1,12,13,11,3,4,5,no,2,2,no,no,11,portuguese
2,2,12,11,3,3,5,no,3,4,no,yes,11,portuguese
3,4,13,14,3,3,5,yes,4,4,no,yes,15,portuguese
2,2,10,9,4,5,5,no,3,4,no,no,10,portuguese
2,0,14,13,1,3,3,no,1,1,no,yes,13,portuguese
1,2,11,11,3,4,4,yes,3,1,no,no,12,portuguese
3,10,12,11,3,3,5,yes,3,2,no,yes,11,portuguese
1,8,12,11,3,3,1,no,1,1,no,yes,11,portuguese
1,4,9,9,3,2,5,yes,3,3,no,yes,10,portuguese
2,0,10,10,4,4,5,no,1,1,no,no,10,portuguese
1,6,13,14,3,2,5,yes,4,4,no,no,14,portuguese
1,2,8,9,5,5,1,yes,1,1,no,no,9,portuguese
4,6,9,11,2,2,3,yes,4,3,yes,yes,11,portuguese
2,24,9,8,3,2,1,no,3,3,no,no,9,portuguese
3,0,15,13,3,3,5,yes,4,4,no,yes,13,portuguese
1,4,12,11,3,3,2,yes,2,2,no,yes,11,portuguese
3,2,13,13,2,2,5,yes,4,4,no,yes,13,portuguese
1,4,10,11,4,4,1,yes,1,1,no,no,11,portuguese
1,22,9,7,4,5,5,yes,2,1,no,yes,6,portuguese
2,0,12,12,4,2,5,yes,1,1,no,yes,12,portuguese
1,0,11,10,4,2,5,yes,2,1,no,yes,10,portuguese
2,2,11,11,3,2,3,yes,3,2,no,yes,11,portuguese
2,6,13,12,3,2,5,yes,1,2,no,yes,13,portuguese
2,6,11,11,3,4,1,no,1,2,no,no,11,portuguese
1,16,9,9,3,2,5,yes,4,4,no,yes,8,portuguese
1,0,12,11,5,5,5,yes,2,1,no,no,11,portuguese
1,0,11,9,3,5,4,yes,1,1,no,no,0,portuguese
1,6,9,10,4,4,5,no,2,1,no,no,10,portuguese
3,2,13,13,2,1,3,yes,3,3,no,yes,13,portuguese
1,6,11,9,5,4,4,yes,3,2,no,yes,11,portuguese
1,0,13,13,2,1,4,no,4,4,yes,yes,13,portuguese
2,0,7,8,4,4,1,no,2,3,yes,no,8,portuguese
1,14,9,8,2,2,5,no,1,2,no,no,10,portuguese
1,6,11,10,2,5,4,no,1,1,no,yes,11,portuguese
1,4,12,10,2,2,3,no,2,2,no,no,11,portuguese
2,0,10,10,5,5,5,yes,3,3,no,yes,1,portuguese
1,0,9,8,4,5,5,yes,1,2,no,no,10,portuguese
1,8,8,8,3,2,5,yes,2,1,no,no,9,portuguese
2,4,7,6,4,4,3,yes,3,2,yes,yes,8,portuguese
1,2,8,9,4,4,5,no,1,2,no,no,10,portuguese
1,2,9,8,3,3,2,yes,1,3,no,no,8,portuguese
2,0,8,8,3,5,5,no,1,1,no,no,8,portuguese
1,10,8,7,5,2,2,no,3,2,no,yes,8,portuguese
2,0,9,10,3,5,4,yes,2,2,no,no,11,portuguese
2,0,17,17,2,3,3,yes,4,2,no,no,18,portuguese
2,0,12,12,1,5,4,yes,2,2,no,yes,13,portuguese
2,0,16,16,4,2,3,yes,4,4,no,yes,17,portuguese
1,4,9,9,4,5,2,yes,3,4,no,yes,10,portuguese
2,0,16,17,3,2,3,yes,1,0,no,yes,18,portuguese
2,0,11,9,4,4,5,yes,4,4,no,yes,10,portuguese
2,0,14,13,3,5,3,yes,1,3,no,no,13,portuguese
2,0,14,14,4,5,4,yes,3,3,no,yes,15,portuguese
2,0,10,11,4,4,4,yes,4,3,no,no,11,portuguese
2,0,13,12,4,4,5,yes,2,2,no,no,14,portuguese
2,4,11,9,3,4,4,yes,3,3,no,no,10,portuguese
1,8,10,9,3,3,3,yes,4,2,no,yes,11,portuguese
2,4,11,11,2,3,2,yes,4,3,no,yes,13,portuguese
2,4,11,10,4,3,3,yes,4,3,no,yes,11,portuguese
2,0,11,12,2,3,3,yes,3,3,no,no,13,portuguese
2,0,17,18,4,2,5,no,2,4,no,yes,17,portuguese
2,32,14,13,3,3,1,yes,3,3,no,yes,14,portuguese
2,8,14,15,2,2,1,yes,3,2,no,yes,16,portuguese
2,6,11,13,3,4,4,yes,3,3,no,yes,14,portuguese
1,0,10,9,3,3,3,yes,1,2,no,yes,11,portuguese
2,0,13,14,2,3,5,yes,2,1,no,no,16,portuguese
2,10,12,13,3,3,3,yes,3,3,no,yes,14,portuguese
2,6,9,9,1,3,3,no,1,2,no,no,10,portuguese
2,6,12,12,3,3,2,yes,2,3,no,no,13,portuguese
2,0,12,11,3,3,3,yes,1,1,no,no,12,portuguese
2,16,10,11,4,4,5,yes,1,2,no,no,12,portuguese
1,0,11,10,3,2,5,yes,3,3,no,yes,10,portuguese
1,0,13,12,3,3,3,yes,2,3,no,no,12,portuguese
2,8,14,15,3,2,5,yes,2,4,no,no,16,portuguese
1,4,13,13,2,3,5,yes,4,4,no,no,14,portuguese
1,16,10,11,3,4,3,yes,3,3,no,yes,12,portuguese
1,30,14,15,2,4,2,yes,4,4,no,yes,16,portuguese
2,0,11,10,5,2,3,yes,4,4,no,yes,11,portuguese
2,2,14,14,3,5,2,yes,4,3,no,yes,15,portuguese
2,4,11,12,4,3,4,no,2,3,yes,yes,12,portuguese
2,0,14,15,4,4,1,no,1,1,no,yes,15,portuguese
1,21,13,13,3,2,3,yes,2,2,no,yes,13,portuguese
4,6,13,13,3,5,5,yes,2,2,no,yes,13,portuguese
3,14,8,9,4,3,5,yes,3,4,no,yes,8,portuguese
2,2,11,11,3,3,4,yes,3,1,no,yes,12,portuguese
2,4,14,15,3,2,1,yes,4,3,no,no,15,portuguese
1,2,12,13,3,2,5,no,1,1,no,yes,13,portuguese
3,0,11,12,4,2,4,yes,4,3,no,yes,12,portuguese
4,4,12,12,3,3,3,yes,3,3,no,yes,12,portuguese
2,15,13,12,3,5,3,yes,4,4,no,yes,12,portuguese
2,0,13,13,3,4,4,yes,2,2,yes,yes,13,portuguese
2,10,12,11,4,4,5,yes,2,2,no,yes,11,portuguese
1,6,12,11,2,1,3,no,4,4,no,yes,11,portuguese
2,2,14,16,4,4,1,yes,3,2,no,no,15,portuguese
2,16,11,9,4,5,1,yes,4,3,no,no,10,portuguese
2,10,10,10,2,4,4,yes,3,3,no,yes,10,portuguese
1,4,12,13,3,3,3,no,2,3,no,yes,13,portuguese
3,0,12,12,3,3,4,yes,2,2,no,yes,13,portuguese
2,0,11,10,2,5,5,yes,2,1,no,yes,11,portuguese
3,12,12,12,3,4,5,no,1,1,no,yes,12,portuguese
2,0,13,13,3,1,3,yes,2,3,yes,no,14,portuguese
2,9,10,9,3,3,4,yes,2,2,no,yes,10,portuguese
3,4,15,16,3,2,5,yes,4,4,no,yes,16,portuguese
2,4,8,8,3,3,4,yes,3,1,no,no,8,portuguese
2,2,17,18,3,4,3,yes,3,2,no,no,17,portuguese
2,0,10,11,3,3,3,yes,2,3,no,yes,11,portuguese
2,2,9,10,3,2,3,yes,2,1,yes,yes,11,portuguese
3,0,15,15,2,3,3,yes,2,1,no,no,16,portuguese
2,0,14,12,2,3,3,yes,4,3,no,no,12,portuguese
2,0,12,13,5,2,1,yes,2,2,no,yes,13,portuguese
2,0,13,13,5,5,2,yes,4,4,yes,yes,13,portuguese
2,0,13,13,2,4,1,yes,4,4,no,yes,14,portuguese
2,2,9,9,4,2,5,yes,1,1,no,yes,9,portuguese
3,0,12,12,3,3,2,yes,3,2,no,no,12,portuguese
2,0,16,16,4,2,4,yes,2,2,no,no,16,portuguese
1,4,9,10,5,2,5,yes,2,1,no,no,10,portuguese
2,0,14,13,3,3,5,yes,4,1,no,no,13,portuguese
2,18,10,10,3,3,3,yes,2,4,no,yes,10,portuguese
2,16,9,8,3,1,5,yes,2,2,no,yes,10,portuguese
1,14,8,7,1,1,3,yes,3,3,no,no,7,portuguese
1,26,7,8,4,3,1,yes,2,2,no,yes,8,portuguese
1,6,10,8,2,1,5,yes,4,4,no,yes,9,portuguese
2,4,14,14,4,2,3,no,3,2,no,no,15,portuguese
3,10,11,10,3,2,4,yes,1,1,no,yes,10,portuguese
1,4,12,11,3,5,5,yes,1,2,no,no,11,portuguese
2,2,13,13,1,1,3,no,2,1,no,no,13,portuguese
1,14,9,9,5,4,5,yes,1,4,no,yes,8,portuguese
2,16,8,7,5,4,2,yes,2,2,no,no,8,portuguese
1,8,11,9,1,2,1,yes,2,2,no,yes,10,portuguese
3,4,15,14,3,3,5,yes,1,1,no,no,15,portuguese
2,4,15,14,3,2,4,no,4,2,no,yes,14,portuguese
2,8,15,15,5,5,5,yes,4,3,no,no,15,portuguese
2,0,12,12,3,3,4,yes,4,4,no,yes,12,portuguese
1,7,14,14,4,5,3,yes,4,3,no,no,15,portuguese
1,4,14,15,3,2,5,yes,4,4,no,no,15,portuguese
2,2,11,11,3,1,5,yes,4,4,no,yes,12,portuguese
3,2,13,14,3,3,1,yes,1,1,no,no,15,portuguese
3,10,11,11,2,2,5,yes,3,3,no,yes,11,portuguese
2,10,10,9,3,2,4,no,1,1,yes,no,10,portuguese
3,10,12,10,4,4,3,yes,2,1,no,yes,11,portuguese
1,7,15,16,3,3,4,yes,2,1,no,no,16,portuguese
2,4,11,10,3,4,5,no,1,1,no,yes,11,portuguese
1,2,9,12,2,2,2,yes,2,3,no,no,13,portuguese
1,12,7,8,4,5,1,yes,3,1,no,no,5,portuguese
2,8,10,9,3,3,5,yes,3,3,no,yes,10,portuguese
1,0,11,12,3,2,5,yes,0,2,no,no,11,portuguese
1,8,7,8,4,5,5,yes,3,2,no,no,7,portuguese
2,4,9,11,3,3,2,yes,3,3,yes,yes,10,portuguese
1,4,7,8,2,5,5,yes,2,1,no,no,6,portuguese
1,2,14,13,3,2,3,no,2,1,no,no,12,portuguese
1,0,12,12,4,2,5,yes,2,1,no,no,13,portuguese
1,0,9,10,4,4,5,yes,1,1,no,yes,10,portuguese
2,2,12,12,3,4,5,yes,2,1,no,yes,13,portuguese
4,2,14,15,2,3,4,yes,4,2,no,yes,17,portuguese
2,0,10,10,3,3,5,yes,2,2,no,yes,11,portuguese
2,4,11,10,4,5,5,yes,2,1,no,no,11,portuguese
3,2,11,12,3,4,5,yes,4,2,no,yes,14,portuguese
3,4,11,12,4,3,3,no,1,1,no,yes,14,portuguese
2,4,11,11,2,3,5,no,2,2,yes,no,13,portuguese
2,4,11,13,3,1,1,yes,4,3,no,yes,14,portuguese
2,2,16,16,2,4,4,yes,2,1,no,no,16,portuguese
1,0,9,10,2,2,4,no,2,2,no,no,10,portuguese
4,2,10,11,4,1,2,yes,2,2,no,no,12,portuguese
2,8,10,12,2,3,2,yes,2,1,no,yes,12,portuguese
2,2,15,15,1,2,2,yes,4,3,no,yes,15,portuguese
2,2,10,10,3,2,3,yes,4,3,no,yes,11,portuguese
3,2,10,11,3,2,3,no,3,2,no,no,12,portuguese
3,2,15,12,2,3,4,no,3,3,no,no,13,portuguese
3,0,11,12,3,3,3,yes,2,2,no,yes,13,portuguese
1,8,8,8,4,4,4,yes,2,2,no,no,9,portuguese
2,6,15,16,2,5,1,yes,3,4,no,yes,16,portuguese
2,0,11,11,4,4,5,yes,3,1,no,no,14,portuguese
2,8,10,11,3,4,4,yes,4,4,no,no,12,portuguese
2,4,10,12,4,5,5,yes,4,2,no,yes,14,portuguese
2,12,8,9,3,5,3,yes,2,1,no,yes,10,portuguese
2,16,11,12,3,5,5,yes,3,3,no,yes,12,portuguese
4,10,16,16,5,5,2,yes,2,3,no,yes,16,portuguese
2,2,13,13,4,3,3,no,1,1,no,yes,13,portuguese
2,2,16,17,5,2,1,no,1,2,no,yes,18,portuguese
2,8,14,14,2,5,1,yes,2,1,no,yes,15,portuguese
2,6,15,16,3,3,1,yes,2,4,no,yes,16,portuguese
2,6,12,12,4,4,5,yes,2,2,yes,yes,12,portuguese
2,15,12,9,1,1,5,yes,3,2,no,no,10,portuguese
1,6,11,12,2,4,3,yes,4,4,no,no,12,portuguese
2,2,14,12,4,4,4,yes,4,4,yes,yes,13,portuguese
3,8,13,15,2,3,1,yes,2,2,no,yes,15,portuguese
2,0,9,8,3,3,3,yes,3,2,yes,yes,10,portuguese
1,0,10,10,2,3,1,yes,4,3,no,no,10,portuguese
1,10,10,10,4,4,4,yes,1,2,no,no,11,portuguese
1,22,11,11,5,4,5,yes,4,1,no,no,10,portuguese
1,18,13,13,4,4,3,yes,3,2,no,no,13,portuguese
4,2,17,17,2,2,3,no,1,1,no,yes,18,portuguese
2,0,12,13,4,4,4,yes,1,1,yes,no,13,portuguese
2,12,12,12,4,5,5,yes,2,2,no,yes,14,portuguese
2,10,12,13,3,1,5,yes,2,1,no,no,14,portuguese
2,0,12,12,3,3,4,yes,1,1,no,no,12,portuguese
3,0,18,18,3,3,2,yes,2,2,no,yes,18,portuguese
3,0,13,13,3,3,3,yes,1,1,no,yes,14,portuguese
3,0,14,15,2,4,2,yes,2,1,no,no,15,portuguese
2,0,17,17,4,3,2,yes,4,4,no,yes,17,portuguese
2,2,15,16,3,2,5,yes,4,2,no,yes,16,portuguese
3,0,17,18,2,2,3,yes,4,3,no,yes,18,portuguese
4,0,18,19,1,2,3,no,3,1,no,yes,19,portuguese
3,0,14,15,4,2,4,yes,3,2,no,yes,15,portuguese
1,0,14,15,4,3,5,yes,3,3,no,yes,15,portuguese
2,2,14,13,3,4,2,yes,4,4,no,yes,13,portuguese
2,0,13,14,4,5,2,yes,4,3,no,yes,14,portuguese
4,0,16,17,3,3,3,yes,4,3,no,yes,17,portuguese
1,0,18,18,4,2,1,yes,4,4,no,yes,17,portuguese
2,0,14,15,2,4,4,yes,4,4,no,yes,15,portuguese
1,0,12,13,1,1,5,yes,4,4,no,no,13,portuguese
3,0,7,7,3,4,5,yes,4,4,no,yes,8,portuguese
3,0,16,16,3,3,3,yes,4,2,no,yes,16,portuguese
4,0,18,18,2,2,5,yes,3,2,no,yes,18,portuguese
3,0,9,10,3,1,5,yes,2,1,no,no,11,portuguese
1,0,14,15,5,3,5,no,3,2,no,no,15,portuguese
2,0,10,10,5,3,5,no,3,3,no,no,11,portuguese
2,2,10,10,4,4,5,no,1,4,yes,yes,11,portuguese
2,2,12,12,3,3,1,yes,2,1,no,yes,15,portuguese
2,2,11,12,2,1,3,yes,2,3,no,no,14,portuguese
1,2,15,16,4,4,5,yes,4,4,no,no,17,portuguese
3,2,14,15,3,4,5,yes,4,3,no,yes,17,portuguese
1,8,12,12,2,4,1,yes,4,3,no,yes,15,portuguese
3,2,15,15,3,4,5,yes,3,4,no,yes,17,portuguese
2,8,11,12,1,4,3,yes,3,3,no,yes,14,portuguese
2,9,11,10,4,4,1,yes,4,2,no,yes,10,portuguese
2,0,12,11,4,4,5,yes,4,4,no,yes,13,portuguese
1,4,11,12,4,4,1,yes,3,4,no,yes,14,portuguese
1,2,14,15,3,4,5,yes,4,4,no,no,17,portuguese
2,14,15,14,2,2,5,yes,4,3,no,yes,17,portuguese
2,0,12,12,3,3,5,yes,3,3,yes,yes,13,portuguese
2,2,11,12,2,3,2,yes,2,1,no,no,14,portuguese
1,2,8,9,2,5,5,yes,4,4,no,yes,11,portuguese
3,12,10,10,5,5,5,no,1,1,no,no,11,portuguese
2,2,8,8,3,4,4,yes,1,1,no,yes,9,portuguese
1,2,10,10,3,5,5,yes,2,2,no,yes,10,portuguese
2,4,14,13,2,2,3,no,2,2,no,yes,13,portuguese
3,0,11,11,3,2,3,yes,2,2,no,yes,10,portuguese
3,0,17,18,4,3,5,yes,3,1,no,yes,17,portuguese
3,0,14,14,3,3,2,yes,0,2,no,no,15,portuguese
3,0,14,14,5,5,2,yes,1,1,no,no,14,portuguese
3,0,13,14,3,3,3,yes,4,4,no,no,13,portuguese
1,0,17,18,3,5,5,yes,3,3,no,no,17,portuguese
1,2,11,10,4,5,4,yes,2,2,no,yes,10,portuguese
3,0,13,12,4,4,4,yes,4,4,no,yes,13,portuguese
3,4,15,14,3,3,4,yes,4,4,no,yes,15,portuguese
1,2,11,12,2,5,5,yes,3,3,no,yes,11,portuguese
4,0,11,11,5,5,5,yes,2,2,no,yes,12,portuguese
1,0,11,10,3,4,5,no,3,2,no,yes,10,portuguese
2,2,10,9,2,5,2,no,2,2,no,no,10,portuguese
3,0,15,15,4,3,5,yes,2,4,no,yes,15,portuguese
1,6,15,14,4,2,5,yes,2,2,no,no,15,portuguese
2,8,10,11,3,4,4,yes,3,3,no,no,12,portuguese
2,0,10,9,3,3,2,yes,2,2,no,no,12,portuguese
4,6,14,13,4,4,4,no,2,2,no,no,14,portuguese
3,8,11,13,4,5,5,yes,3,4,no,no,14,portuguese
2,0,12,13,3,2,2,yes,3,2,no,yes,15,portuguese
4,4,14,14,3,3,1,yes,3,3,no,yes,15,portuguese
2,0,14,14,3,3,2,yes,3,2,no,yes,16,portuguese
2,0,12,12,3,3,2,yes,4,4,no,yes,13,portuguese
2,6,16,16,3,3,5,yes,3,4,no,no,17,portuguese
2,18,10,12,3,1,4,yes,2,2,no,yes,14,portuguese
3,0,11,12,3,3,3,yes,2,3,no,yes,14,portuguese
3,4,14,16,4,3,1,yes,3,2,no,no,17,portuguese
3,4,15,14,3,2,4,yes,4,3,no,no,17,portuguese
3,0,14,13,4,5,5,yes,4,3,no,yes,14,portuguese
3,0,11,12,4,3,4,yes,4,3,no,yes,13,portuguese
2,10,12,15,3,4,1,yes,2,1,no,yes,15,portuguese
2,4,12,16,3,5,4,yes,2,1,no,yes,16,portuguese
1,16,10,11,2,3,5,yes,2,3,no,no,11,portuguese
1,6,10,13,1,2,3,yes,3,1,no,yes,13,portuguese
3,0,9,12,3,2,5,yes,4,4,no,no,12,portuguese
2,11,9,11,4,4,3,yes,2,2,no,yes,12,portuguese
2,9,13,14,3,5,2,yes,3,4,no,no,15,portuguese
2,0,13,17,3,4,4,yes,2,2,no,yes,17,portuguese
3,2,12,15,4,2,4,yes,4,4,no,yes,15,portuguese
2,0,14,17,2,2,3,yes,4,2,no,yes,17,portuguese
2,21,9,10,3,3,4,yes,1,1,no,yes,10,portuguese
3,8,11,15,2,2,3,yes,1,1,no,no,15,portuguese
1,5,9,10,2,5,5,yes,4,4,no,yes,11,portuguese
2,10,16,18,4,4,5,yes,3,2,no,yes,18,portuguese
3,5,14,17,3,4,2,yes,3,2,no,yes,17,portuguese
1,13,13,14,1,3,4,yes,2,3,no,no,14,portuguese
1,10,7,11,3,4,4,yes,2,1,no,no,11,portuguese
2,10,14,17,1,4,4,yes,2,2,no,yes,17,portuguese
1,5,8,10,3,1,5,yes,1,0,yes,no,10,portuguese
2,4,10,13,1,2,1,yes,3,2,no,yes,13,portuguese
1,11,10,11,3,3,5,yes,1,3,no,yes,11,portuguese
2,0,12,12,4,4,5,yes,2,2,no,yes,12,portuguese
1,6,10,10,1,3,2,no,1,1,no,yes,10,portuguese
1,4,10,10,4,4,5,yes,3,3,no,yes,11,portuguese
2,0,16,17,5,2,5,no,2,3,no,no,17,portuguese
1,0,6,8,3,4,1,no,2,1,no,no,9,portuguese
2,5,10,11,3,2,2,no,4,4,no,yes,11,portuguese
3,0,10,11,4,3,5,yes,1,2,yes,no,11,portuguese
2,0,10,10,5,4,5,no,3,2,no,no,10,portuguese
1,0,6,6,4,4,5,yes,1,1,no,yes,7,portuguese
1,0,13,14,5,1,5,yes,4,4,no,no,14,portuguese
4,4,10,9,2,1,1,no,2,2,no,no,11,portuguese
2,0,10,10,4,3,4,yes,1,1,no,yes,10,portuguese
1,4,6,7,4,3,2,yes,1,1,no,yes,8,portuguese
1,0,12,11,2,3,2,no,0,2,no,yes,12,portuguese
1,2,10,11,5,5,3,yes,2,3,no,yes,12,portuguese
1,0,14,16,1,3,4,yes,3,3,no,no,16,portuguese
2,0,7,0,4,5,3,no,1,1,no,yes,0,portuguese
2,4,8,9,4,3,5,yes,1,1,no,no,9,portuguese
2,0,12,13,3,4,2,yes,4,1,no,yes,14,portuguese
2,7,7,9,3,4,2,yes,4,1,no,yes,8,portuguese
2,4,9,10,4,5,5,no,3,4,no,no,11,portuguese
2,8,7,9,4,5,4,no,1,1,no,yes,9,portuguese
2,0,11,11,3,3,5,yes,3,3,no,yes,11,portuguese
1,8,8,10,5,5,3,no,2,1,no,no,9,portuguese
3,6,16,16,2,2,4,yes,4,4,no,no,17,portuguese
1,3,11,13,1,2,1,no,1,2,no,no,13,portuguese
2,2,15,15,5,4,1,yes,2,3,no,yes,15,portuguese
2,0,10,11,3,3,5,no,1,2,no,no,11,portuguese
2,4,9,10,4,5,4,yes,2,2,no,yes,11,portuguese
3,0,10,8,3,2,4,no,1,2,no,yes,8,portuguese
3,3,9,8,3,2,4,no,1,2,no,yes,8,portuguese
2,0,9,10,4,2,2,yes,2,1,yes,yes,9,portuguese
2,0,13,14,4,3,2,no,1,1,no,yes,15,portuguese
1,4,10,11,5,5,3,yes,1,2,no,yes,11,portuguese
4,0,13,10,3,2,1,yes,1,1,no,yes,13,portuguese
3,2,10,9,4,3,5,no,1,1,yes,yes,10,portuguese
2,1,11,10,3,3,2,yes,1,1,no,yes,11,portuguese
1,0,13,12,2,2,2,yes,1,1,no,no,14,portuguese
2,0,13,14,2,1,2,no,1,1,no,yes,14,portuguese
3,2,14,11,4,3,5,no,2,2,yes,yes,12,portuguese
1,6,11,11,4,4,5,no,1,1,no,no,11,portuguese
2,9,9,8,4,4,5,yes,1,2,no,yes,8,portuguese
1,0,10,9,2,3,4,no,3,1,no,yes,11,portuguese
2,1,14,13,3,4,2,yes,2,2,no,yes,14,portuguese
1,1,13,12,3,3,4,no,2,2,no,no,13,portuguese
2,0,13,12,3,1,3,no,4,4,no,yes,13,portuguese
2,4,13,12,5,4,1,yes,3,3,no,yes,12,portuguese
2,2,12,11,4,4,5,no,2,2,no,yes,12,portuguese
1,0,14,14,3,2,4,no,2,2,no,yes,16,portuguese
1,4,10,8,4,3,4,yes,2,1,no,yes,10,portuguese
1,2,10,11,2,4,3,yes,1,3,no,yes,11,portuguese
3,0,12,13,3,2,4,no,2,2,no,yes,14,portuguese
1,2,10,8,4,3,5,yes,2,1,no,yes,8,portuguese
1,11,12,10,3,3,3,yes,3,3,no,yes,11,portuguese
2,0,7,7,4,3,1,no,1,1,yes,yes,8,portuguese
1,4,9,9,5,3,5,no,2,2,no,yes,10,portuguese
1,0,9,9,4,4,2,yes,2,3,no,no,10,portuguese
1,2,9,10,5,3,3,no,2,1,no,yes,11,portuguese
1,0,9,10,2,1,4,no,1,1,no,yes,9,portuguese
2,1,9,10,4,5,1,yes,2,2,no,yes,11,portuguese
1,6,7,7,3,4,1,no,2,2,no,yes,8,portuguese
2,0,11,10,3,5,4,yes,2,2,no,yes,11,portuguese
1,1,9,10,4,3,3,yes,2,2,no,yes,10,portuguese
3,6,7,9,3,2,2,no,3,2,no,yes,10,portuguese
3,6,7,9,3,1,3,no,1,1,no,no,9,portuguese
1,0,8,9,4,3,4,yes,1,1,no,no,10,portuguese
1,4,9,11,2,3,2,yes,1,1,no,no,10,portuguese
2,12,7,8,1,4,1,yes,1,1,no,yes,9,portuguese
2,2,8,10,3,2,3,no,2,2,no,no,10,portuguese
1,5,9,9,4,4,5,no,0,1,no,no,10,portuguese
2,0,8,9,4,5,3,yes,1,2,no,no,9,portuguese
1,0,14,13,5,4,4,yes,3,3,no,no,13,portuguese
